gs_step,col_step,particle_ht,ashdiam,part_density,fall_time,total_fall_time,plume_diffusion_fine_particle,plume_diffusion_coarse_particle,wind_speed,wind_direction,wind_sum_x,wind_sum_y,x_norm,step_norm,col_prob,cum_col_prob,suspended_mass
0,22,8229.2439128821,0.0000000000,0.0000000000,3.6535348078,105.8706320289,669.5130595375,46.2087170141,7.6581474875,0.2881593789,414.5125253957,79.4177496047,0.2300000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,23,8560.3414743118,0.0000000000,0.0000000000,3.5805136356,109.4511456646,692.7009405844,50.3142173915,7.9662674053,0.2997532590,441.7639814520,87.8402459110,0.2400000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,24,8891.4390357415,0.0000000000,0.0000000000,3.5089518970,112.9600975616,715.6963311535,54.5944199127,8.2743873232,0.3113471391,469.4024840858,96.7346896188,0.2500000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,25,9222.5365971711,0.0000000000,0.0000000000,3.4388204232,116.3989179848,738.5084389228,59.0493245776,8.5825072410,0.3229410193,497.3905089534,106.1010668012,0.2600000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,26,9553.6341586008,0.0000000000,0.0000000000,3.3700906283,119.7690086131,761.1456948716,63.6789313862,8.8906271588,0.3345348994,525.6917162128,115.9385589147,0.2700000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,27,9884.7317200304,0.0000000000,0.0000000000,3.3027344976,123.0717431107,783.6158450784,68.4832403385,9.1987470766,0.3461287796,554.2709315541,126.2455848894,0.2800000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,28,10215.8292814601,0.0000000000,0.0000000000,3.2367245764,126.3084676871,805.9260287825,73.4622514345,9.5068669945,0.3577226597,583.0941270776,137.0198418603,0.2900000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,29,10546.9268428898,0.0000000000,0.0000000000,3.1720339590,129.4805016461,828.0828451685,78.6159646743,9.8149869123,0.3693165399,612.1284020425,148.2583445689,0.3000000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,30,10878.0244043194,0.0000000000,0.0000000000,3.1086362770,132.5891379230,850.0924108227,83.9443800577,10.1231068301,0.3809104200,641.3419635082,159.9574634674,0.3100000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,31,11209.1219657491,0.0000000000,0.0000000000,3.0465056893,135.6356436123,871.9604094239,89.4474975849,10.4312267479,0.3925043002,670.7041068896,172.1129615542,0.3200000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,32,11540.2195271787,0.0000000000,0.0000000000,2.9856168711,138.6212604834,893.6921349273,95.1253172559,10.7393466658,0.4040981803,700.1851964457,184.7200299711,0.3300000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,33,11871.3170886084,0.0000000000,0.0000000000,2.9259450040,141.5472054874,915.2925292639,100.9778390705,11.0474665836,0.4156920605,729.7566457222,197.7733223916,0.3400000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,34,12202.4146500381,0.0000000000,0.0000000000,2.8674657653,144.4146712527,936.7662153947,107.0050630289,11.3555865014,0.4272859406,759.3908979651,211.2669882281,0.3500000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
